sentiment,text,user
"neutral","RT @Parodykalyan: कोई इन आपियों को बरनोल भिजवाओ यार 😜","ashutokes2031"
"positive","RT @tuanxcoco: MT Studio said that Mark’s back in LA to prepare for his new song/content 😭😭😭😭😭😭\n\n#MarkTuan #段宜恩 @marktuan \n#GOT7 #갓세븐 @GOT7…","valkyrxsvn"
"neutral","RT @lmjfeIt: https://t.co/6PUkqcsmM1","laurfIws"
"neutral","RT @x7l_d: 小池俊司なんとこんなきゅるきゅるしてると見せかけて元expg生、ゴリゴリのダンス踊れますし、ボーカルもできますし(ファイナルでメインボーカルやります！)、176cmもありますし、好きな食べ物はおすしです🍣\n#小池俊司18歳全力少年です\n#小池俊司\n#PRO…","misotauros"
"neutral","RT @tinyskook: i wish one day you could see yourself with my eyes :( https://t.co/B96lN7Dqfx","bangtanutopiaa"
"neutral","RT @ShareMyCosplay: #Disney's #KimPossible by #cosplayer https://t.co/o3PhtWrbSO\n.\n.\n#sharemycosplay #cosplay #anime #KimPossibleCosplay #D…","ShareMyCosplay"
"neutral","最前列座れました‼️ https://t.co/mR2OMDAEl0","1M023"
"neutral","pessoas que visitaram meu perfil e grupos que sigo no Twitter https://t.co/kIJrhB32lg","_luasobral"
"neutral","@koki__lov ff外から失礼します💦髙塚大夢くんに貴重な1票いれていただけないでしょうか🥺\n🌷圧倒的な歌唱力🎤\n🌷グローバル評価1位✨\n🌷ストイックで真面目！\n21人いる中、現在17位でデビュー圏内ではありません😭是非… https://t.co/lbkd3iiCI5","hirommmmmmmmmmu"
"neutral","18F119B3 :参戦ID\n参加者募集！\nLv100 ユグドラシル・マグナ\nhttps://t.co/QSTPvYqGg4","aptjdgrj"
"positive","RT @GemsOfBollywood: Comedian Atif Muhammad Aziz jokes on Indian Army, Ram Lala, Cow meat\n\nNothing hilarious to make anyone laugh. Audience…","pruthapartha"
"neutral","RT @twilightreborn: twilight characters as cats - a thread: https://t.co/YmxNwXLqg3","Knowles_Bieber"
"negative","RT @BTS_twt: Behind The💜ARMY💜Scene\n#Got_ARMY_Behind_Us\n기여운 석지니와 정국이 https://t.co/Fk2Ibca7V2","stigmatkoo"
"negative","RT @ItsMisola: Someone in the product team is in a long distance relationship.","umlfza"
"neutral","RT @deepu02beragi: #Justice4malenurses \n@SonuSood \n@drharshvardhan \n@aajtak \n@PMOIndia \n@MoHFW_INDIA \n@ombirlakota \n@TimesNow \n@ndtvindia h…","Subhash99140083"
"neutral","RT @opywpy: 😎😎\n#winmetawin https://t.co/8g7lLjoDB0","phirachak"
"neutral","RT @pink_tamal: what if I made you heart shaped gorditas aha... unless https://t.co/rRv9YMmi8g","andreaaa0912"
"neutral","RT @artofth: ในหนังสือแทบไม่ได้อธิบาย #ชุดนรฮอกวอตส์ ไว้ บอกแค่ว่าเป็น robe ทีมคอสตูมจึงต้องออกแบบขึ้นมาใหม่ โดยเอาแรงบันดาลใจมาจากรร.ประจำ…","cowboylikeme09"
"positive","RT @mrydyldonato: fifty k tweets achieved. shutacayo. every sunday na lang nalalagpasan natin achievements natin. proud of us guys. lets ai…","khaizy28"
"neutral","NCfOM https://t.co/HYKeomhaOb","th3v0t4ry"
"neutral","RT @tipicodearg_: Yo esperando que alguien me llame para tomar un vino https://t.co/SQDaoamZ1C","blocklunna"
"neutral","RT @Maheshk08212772: #वादा_निभाओ_शिक्षामित्र_बचाओ https://t.co/4gMKzHKMQT","Alauddi26341514"
"neutral","RT @mmfromthemoon: ไม่เคยกลัวใคร ยกเว้นแดด 😂😂 #จางเจ๋อฮั่น https://t.co/aVpiRCFTIi","sugicomfy"
"neutral","Encarta https://t.co/c9EgZDX6oh","Gerry_Bal"
"neutral","RT @Maya250796: Vcs promo\n100k 1jam\nMinat my id line\nm4ya96 https://t.co/OFPRxWDObV","Herman92651046"
"neutral","Oiga y pensandolo bien si https://t.co/yYslU1nTyW","diaz_lore10"
"neutral","RT @nucitagang: si https://t.co/aQwtIo6sqw","EdgarSn_"
"neutral","RT @meditationscert: https://t.co/l8VuvaCniL","ememeburro6956"
"neutral","RT @AmirfarooqPAK: پاکستان کی تاریخ میں ایسی بات پہلے کبھی کسی حکمران نے نہیں کی ہو گی۔\n\nکوئی ہم سا ہے تو سامنے آئے https://t.co/6dgygeQEFI","ZaheerH1987"
"neutral","RT @tyxtk: หม่ามี่ซ่อนปาทูน้องหรอ ไหนปาทูน้องงงงง https://t.co/O80ZdGBct5","loveyou3000_i"
"neutral","Ini gmn siiieee 😭😭😭😭 https://t.co/9JjzsrtcW6","saoturnus"
"neutral","RT @casalnocarro: https://t.co/EVp9J96Z4x","Luanaguiarsz1"
"positive","RT @misayeon: TWICE TikTok update \n\n“🍹JiMiChaeng-Free💃”\n\n#TWICE #트와이스 @JYPETWICE https://t.co/9KIRYpvZzd","hi43095852"
"positive","Classic Tim https://t.co/qF5M73P8gK","c_debrosse1"
"negative","RT @RoyalFamily: Today is The Queen's Official Birthday🎈\n\nA military parade held by @Householddiv is taking place in the Quadrangle of Wind…","ProChristopher"
"neutral","RT @esukeeee: 😭 https://t.co/jfiLZDLiQb","renma0627"
"neutral","RT @AleMoreno_10: https://t.co/LuJybFkgLQ","AmatiiMagiin"
"positive","RT @Evelyynhiii: Found 7 puppies on the side of the road today, they need a loving home. A simple retweet can find these babies a home 🥺 ht…","_LegendSahara"
"neutral","RT @oocjornaisbr: https://t.co/y3XuV944Qs","jan72009"
"neutral","\"Alright do you have anything you wanted to do with your father before?' https://t.co/3629MJ3elC","DeathReimagined"
"neutral","RT @melinadiazcuell: aveces me olvido que en Twitter tengo gente que me conoce","julimoraless9"
"neutral","RT @metrodesantiago: El mensaje de @claubngtn15 y Armys en toda la ciudad porque hoy es #BTS8thAnniversary #8YearsToInfinityWithBTS https:/…","jeonstayy"
"neutral","RT @hopeshighh02: I already got 102$ still short of 458$, please keep boostinggg!😭🙏","ohhsaturnn"
"negative","RT @BTS_twt: Behind The💜ARMY💜Scene\n#Got_ARMY_Behind_Us\n기여운 석지니와 정국이 https://t.co/Fk2Ibca7V2","sweetaehybear"
"neutral","RT @noconversion: https://t.co/60TorGNMcV","subasingh73"
"neutral","RT @WorldOfRandom5: https://t.co/YLFRjpXB7j","RockingTheBlade"
"neutral","RT @kthwlub: O tiktok/Twitter vendo que o bryce hall perdeu a luta \n#TEAMTIKTOKERS https://t.co/OjDru9yQSD","MarianaReisAve1"
"neutral","RT @Onibi481048: #ヨハン・アンデルセン生誕祭2021 \n安德森先生生日快乐🎁\n还是紧急摸了，我那该死的不甘心 https://t.co/yAnC3zmbAE","Fortunateguy25"
"neutral","RT @vixita: Jajajajaja mis chicas 🤩💛 https://t.co/bPXzu1lJqR","bynando12"
"neutral","RT @cut3things_: Sedapnya semua biscuits and cookies M&amp;S food, siapa yang belum try lagi tu try la rasa. Nanti boleh buat stock lockdown 🤣…","fir_zanah"
"neutral","RT @nagoori1: 6시즈음엔 사람많을꺼같아서 미리사옴 https://t.co/IBN272BPj6","jmbratzboy"
"neutral","RT @CINEMA505: https://t.co/j7mJkbwGaz","ccasifer"
"neutral","RT @BTS_BR: Mensagem em vídeo do SUGA para o calendário da BTS Festa 💜 @BTS_twt\n https://t.co/zBDZfZBr4u","eu_nicolyreis"
"neutral","i.e. Boris JOHNSON is coming out as a RACIST and a COWARD. https://t.co/gn2QyxcTqB","mattprescott"
"neutral","RT @t_akemitch: #2021年自分が選ぶ今年上半期の4枚\n皆様に見て頂けたもの　下半期も可愛い絵を描きたい https://t.co/nM2HIPer9F","unkotintin_t"
"neutral","RT @eubicomento: Feliz cinco meses de uma vida todinha pela frente! 🍡 https://t.co/zX9z5a61Av","RenataG77452422"
"positive","RT @FinalKeyblade13: Verum Rex / Kingdom Hearts fans !!\n\nARE YOU READY ????\n\n#E32021 https://t.co/bvxEjFOpLD","chairez_adan"
"positive","Probably pushing away good person https://t.co/bzuSmmNXWh","WellDone_Que"
"neutral","RT @Auto_Porn: matte red 😲 https://t.co/tYXEE9nMxz","703_richie"
"neutral","RT @lessojin: 아무생각없이 마구 그려봄..ㅇ&lt;-&lt; https://t.co/dMUyfeCuJ2","BoBo_929"
"neutral","RT @okatsu0713: 山梨県富士河口湖町の富士芝桜まつりにて。私が見に行ったことのある芝桜のうち、この富士芝桜まつりが一番好きです。右上の写真はハートマークのかわいい芝桜、右下の写真はアネモネです。\n(2021年4月25日撮影) https://t.co/oygPWn…","gokuu_chichichi"
"neutral","RT @BleacherReport: BRANDON MORENO DEFEATS DEIVESON FIGUEIREDO TO BECOME THE UFC FLYWEIGHT CHAMP 💪\n\n#UFC263\n\n(via @ufc)\nhttps://t.co/3M8pXP…","_MATEO__"
"neutral","RT @ari_rn: เห็นถามมาเยอะ ขอแปะลิสยาที่ควรงดก่อนฉีดวัคซีนเพิ่มเลย (อิงจาก https://t.co/amrzESF0gk )\nยากลุ่ม NSAIDs ตัวดังๆแล้วรู้จักกันดีก็…","neutral0511"
"neutral","RT @_ma1c0: 💐💜\n\n#BTS   #방탄소년단 \n#BTS8thAnniversary https://t.co/99WExOPNHl","Dayli29611702"
"neutral","RT @tteryanin: น่ารักมาก คือใจน้วยไปเลยอ่ะ ฮือㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ https://t.co/hRFdk2Y8GJ","kentuk_ky"
"neutral","RT @sophitia__: 天城越え \n🎀✨😌🎵✨⌒♩♪♫♬～♯♭✨ https://t.co/eY6WaCjOQD","kunibun7812"
"neutral","RT @bts_bighit: [#2021BTSFESTA]\n🔔아미 만물상점🔔\n곧, 7명의 손님들이 아미 만물상점을 방문할 예정입니다.\n\n#2021BTSFESTA #BTS8thAnniversary\n#아미만물상점 #ARMY_Corner_Store\n#우리만…","uaremylight613"
"neutral","RT @lovewithBBH: เด็กซนมีท่าประจำ 55555555 เอ็นดูมาก มันเขี้ยวววว https://t.co/C3pxkFTQ24","jjentji"
"neutral","RT @opywpy: 😎😎\n#winmetawin https://t.co/8g7lLjoDB0","Stangg0303"
"neutral","RT @Jaz_baatein: Guru Devo Bhava🙏 https://t.co/fEwggf6MJ4","Abhijit_Basak83"
"neutral","RT @brgsjks: Babi berjanggut 😭😭🤌🏻 https://t.co/dn53h8NXdt","Rjanrafiqh"
"neutral","RT @kennysalem: Baba you dey yarn well. God's blessings shall always follow this young man....#June12thProtest https://t.co/X6SoirAkjp","Kalipha_omar"
"neutral","RT @Kanga_San: パソコンの整理してたら私が7年前くらいに学校の授業で作ったコラ画像出てきてけどなにこれ。 https://t.co/mzwBe7KOqA","yukimaru_1095"
"negative","RT @GlitchArtTV: That clown is really angry!\n#madnesscombat #madnesscombatfanart https://t.co/X3J5IvUTBi","Ink87564871"
"neutral","RT @record_mexico: CAPITÁN \n\nSimon Kjaer mostró por qué es el líder de Dinamarca. Sus actos durante el desvanecimiento de Eriksen son para…","edericozil"
"neutral","RT @4ofO1nF43KUVXkL: https://t.co/jhNKMouAJF","nrneko_1303"
"neutral","RT @selrame1: يا نفسي مْن الضيق صدي.. وسمي\nوقولي لهم.. لاقالوا الناس للناس\n\nأنا لي الله.. لاتشيلون همي \nوللعين دمعتها.. وللضيقه أنفاس https…","AD93ALS"
"positive","RT @misayeon: TWICE will be performing Alcohol-Free on Inkigayo today at 3:50PM KST 😊\n\nStream:\n➡https://t.co/xRon4s1RG8\n\n#TWICE  #트와이스  @JY…","sayago_alexa"
